QUAD,SP,XCO,YCO
46,SARADE,99.9,183.7
46,SARADE,99.9,182.5
46,SARADE,99.6,181.2
46,SARADE,98.6,181
46,SARADE,99.7,180.6
46,SARADE,94.3,180.5
46,SARADE,93,180.4
46,SARADE,92.4,181.9
47,DIPTC1,0,0
47,BACCRA,65.7,181.4
47,XYLOM2,64.6,182.4
47,ALPHEL,63.8,184.6
47,EUGE10,62.7,186.4
47,DIPLMA,68.5,183.8
47,POL1SC,61.8,188.8
47,DIALPL,62.6,189
47,SHORAC,62.8,191.3
47,DIALPR,69.1,193.9
47,ELAENI,0,0
47,POPOTC,70.5,194.5
47,CALODI,70.6,195.9
47,SHORL1,69.2,196.3
47,CROTAR,70.9,196.8
47,ANI1LA,62.2,196
47,ADENBI,63.7,194.5
47,GREWFI,66.5,197.2
47,MILLAT,61.4,196.4
47,EUGEDE,62.7,196.4
47,EUGEDE,63.1,193.2
47,ANI1LA,66,197.4
47,XERONO,63.1,197.5
47,SHORM1,62,198.5
47,APORBR,61.3,199.8
47,OCHAAM,68,199.8
47,CANTDI,72.5,195
47,RYPAKU,74.3,192.6
47,SAPIBA,77,196.5
47,PARKSP,76.9,197.2
47,SHORL1,79.3,194.6
47,CALORU,79.1,195.5
47,MEL1TO,76.5,193.3
47,CALODI,79,192.5
47,CANALR,79.2,191.8
47,KOILLO,78.9,189
47,PTYCCO,77.4,188.2
47,IXONIC,79.2,184.5
47,PIMEGR,76.7,188
47,GARCS1,74.8,188.7
47,POPOTC,70.3,190.9
47,KNEMCU,68.6,189.6
47,ARTOSC,68.4,190.3
47,PIMEGR,69.5,191.1
47,POL1RU,71.1,188.3
47,LITHCU,76.6,180.6
47,CHISTO,74.1,180.9
47,CROTAR,73.8,182.8
47,SAR1GR,71.1,182.2
47,SANDKO,70.4,181.4
48,SHORM1,55.3,182.2
48,SCA2MA,41.7,181.2
48,POL1SU,45.4,180.9
48,BACCRE,43.7,184.5
48,DRYPLO,49.2,184
48,AAAAAA,0,0
48,CROTAR,49.4,185
48,RYPAAC,52.4,183.5
48,POL1SU,48.2,188.8
48,ALANEB,52.4,189
48,ALANRI,45.7,189.7
48,EUGESP,46.3,190.8
48,SANTLA,47.8,194.3
48,SHORP1,43.7,194.9
48,XERONO,43.6,195.1
48,SHORBR,50.3,195
48,TRIOMA,51.8,194.7
48,PIMEGR,50.5,193.5
48,CYNOMA,49.7,199.3
48,CROTAR,49.2,197.6
48,MESUFE,58.3,195.8
48,EUGES2,54.8,199.6
48,SHORM1,57.3,196.6
48,MANGFO,57.5,191.5
48,PIMEGR,55.8,190.2
48,CALODI,55.6,190.2
48,DACRCO,52.3,189.9
48,PEN1MO,0,0
48,LITHRA,58.1,184.4
48,CALOWA,58.3,183.4
48,APORBR,54.4,183.2
48,HOPEDR,53.7,185.2
48,MEMEO2,56.5,180.6
48,SHORM1,0,0
48,ALPHEL,56.7,181.3
48,ALPHEL,56.8,181.4
49,PTEREC,25.3,181.1
49,SHORM3,31.3,180.2
49,NEPHPA,34.1,180.3
49,ACTIPO,0,0
49,DACRR1,26.6,187.7
49,MONOMA,25.7,188.9
49,ALPHMA,23.9,191.4
49,CALODI,22.9,190.4
49,EUGESD,27.2,190
49,ALANRI,21.1,185.7
49,CRY1IN,20.8,186.6
49,MONOMA,32.1,194.7
49,PORTAN,31.9,191
49,VATIBE,32.5,196.7
49,CINNIN,32.7,192.2
49,SHORP1,34.6,191.7
49,TIMOWA,31,194.5
49,CALOWA,36,196.7
49,AIDICO,37.5,194.5
49,SHORP1,36.3,194.4
49,CROTAR,35.1,195
49,APORSY,38.1,191
49,SHORP1,39.1,196.1
49,NEPHMA,35,185
49,POL1HY,36.9,184.4
49,SHORP1,39,187.2
49,ACROPO,33.4,183.1
49,PEN1MO,34.6,183.7
49,INTSPA,35.9,180.6
49,MONOMA,35.6,182.6
50,ALANRI,5.5,190.1
50,GREWMI,4.8,190
50,EUGERI,5.8,189.6
50,SCA1SP,3,186.8
50,GARCBA,2.7,186.2
50,DACRRO,2.7,184.8
50,HOPEME,8.3,192.7
50,CALODI,5.4,191.2
50,CROTLA,5.8,192.4
50,VATIBE,4.8,190.8
50,EUGERI,3.2,192.5
50,GREWBL,1.7,191.1
50,POL1HY,2.2,194.4
50,XYLOFS,10.2,197.9
50,EUGEFI,12.8,193.9
50,SHORM1,13.4,191
50,DURIGR,15.8,189.2
50,NEPHMA,17.1,187.4
50,ANI1LA,17.8,182.6
50,OCHAAM,19.5,184.7
50,SHORL1,12.6,186.7
50,MESURA,18.6,198
50,CANAPA,13.8,188
50,SAR1GR,16.4,190.2
50,SHORM2,16.9,192
50,MESURA,19.2,191.3
50,DURIGR,17.7,197.6
50,OCHAAM,16.6,198.1
50,KNEMSC,19.9,197.1
50,BACCHO,16.4,186.1
