QUAD,SP,XCO,YCO
9,SYMPC2,20.4,28.7
9,KOKOOC,23.2,26.6
9,RYPAKU,21.5,32.9
9,CROTLA,21.8,31
9,ATUNEX,24,34.7
9,LEPISE,24.3,36.9
9,SHORAC,22,38.4
9,LITSM2,28.2,39.2
9,EUGEDE,29.5,34.6
9,LITHWA,30.7,34.1
9,MANGQU,35.8,38.7
9,ELAENI,36.8,33.4
9,BUCHSE,37.3,33.7
9,CRY1GR,39,35
9,ELAEFE,36.5,31
9,SANTLA,36,30.5
9,GONYMA,34.9,29.9
9,IXONIC,38.7,30
9,APORNE,36.8,23.8
9,DACRCO,38.5,25.6
9,PTYCCO,40,21.3
10,DILLSU,0.7,21.9
10,CALOTE,8.7,23.2
10,EUGEC1,7,24.7
10,LITHCU,3.5,29
10,HORSPO,3.8,31.1
10,NEOSKI,1.8,35.1
10,HORSPS,1,32.4
10,HUNTZE,0.5,35
10,XANTAF,0.7,35.7
10,APORPE,0.6,38.8
10,CANAPA,0.7,39.3
10,TRI2MA,2.9,39.8
10,SANTLA,9.8,37.3
10,QUERAR,10.3,39.6
10,AGLAE1,8.5,39.1
10,DACRRO,8.3,35
10,DACRR1,12.7,33.1
10,CROTLA,15.5,35.7
10,MESUGR,19.5,33.6
10,EUGEDE,16.2,30.4
10,GANUSN,19.8,38.7
10,SANTLA,19.5,38.5
10,ARTORI,13.1,28.8
10,KNEMMA,12.3,28.8
10,DIOSBU,12.4,27.9
10,EUGEFI,12.3,28
10,POMEPA,14.1,26
10,INTSPA,15,27.4
10,GREWAN,19.1,25.6
10,MESUGR,16.3,21.5
10,DIOSAP,16.1,23.6
10,SHORAC,14.6,21.5
10,EUGERI,18.1,21.2
10,KNEMSC,14,21.4
10,DRYPLO,11.8,20.9
11,MACALO,7.1,40.3
11,MACALO,10.6,40.5
11,SCA1SP,9.4,44.4
11,BOUEMA,10.5,46
11,PSYD10,10.8,47.3
11,EUGENA,11.5,48.5
11,NEOSKI,13.4,47.8
11,DACRR1,9.1,47.1
11,CALOTE,5.2,47.1
11,CINNIN,1.2,46.7
11,PTEIEC,2.5,46.2
11,POL1JE,10.8,48.3
11,DRYPLO,0.4,45
11,ARTORI,3,43.8
11,DIOSAP,0,0
11,PORTAN,0.5,42.2
11,IXONIC,3.7,40.4
11,EUGEPU,3.8,44.4
11,BEILDI,9.4,57.4
11,DIALPA,5.1,57.3
11,EUGEFI,3.3,55.3
11,SHORP1,1.2,56.2
11,PAYELU,6.5,56.2
11,APORAU,5.4,53.4
11,HERISI,1.3,57.8
11,XYLOFE,2.5,59.7
11,MALLPE,12.2,57.8
11,HORSS2,2.4,57.8
11,MANGQU,12.8,56
11,LITSNI,0,0
11,EUGEPR,13.6,55.4
11,BOUEMA,14.4,54
11,XYLOM2,15.1,53.3
11,CANALR,15.4,57.5
11,APORBR,17.8,59.2
11,MADHL1,19,55.3
11,BEILDI,18,52.9
11,BEILDI,18,50.9
11,ARCHCL,15.5,51
11,PEN1MO,16.5,48.7
11,XANTAF,16.3,49
11,KIBAAR,19.5,46.4
11,KNEMHO,20,45.1
11,XYLOM2,18.5,43.1
11,PIMEGR,14.4,41.3
12,SCA1SP,0,0
12,RYPAAC,23.6,42
12,CANALT,24.8,42.3
12,SHORM2,27.4,42.4
12,ATUNEX,25.7,44.4
12,LEPISE,28.2,46.2
12,DACRR1,27.9,48
12,EUGEPR,28.5,48.8
12,ANI1LA,23.4,46.2
12,ALANRI,21.6,46.1
12,ANI1LA,25.3,51.9
12,LEPISE,0,0
12,LANSDO,23.7,55.2
12,TRIOMA,25.8,55.2
12,PYREAC,23.5,57
12,CALODI,24.5,57.5
12,SHORP2,24.2,58
12,APORBR,28.3,56.2
