SP,XCO,YCO
MESUFE,45.5,92.2
EUGERI,40.3,91.9
KNEMMA,40.1,93.7
KNEMMA,42.3,95.4
DACRR1,40.8,95.8
SHORM1,43.8,96.1
DACRR1,45,99.4
CANTDI,40.9,99.7
PTEREC,49,97.3
BACCRE,49.3,95
MIC1CA,51.4,95.4
PEN1MO,53.6,99.3
MONOMA,52.8,99.7
AGLASP,54.6,97.8
MONOMA,53.5,99.8
PAYELU,56,95.4
RYPAKU,59.5,95.9
MEMEMI,59.9,99
ATUNPE,58.6,97.8
MEL1FU,59.4,88
CROTLA,54.5,89.5
SHORP1,56.1,91.7
PIMEGR,47.2,86
PARKJA,54.6,87.4
PIMEGR,50.7,89.8
LITHCU,51.5,86.9
INTSPA,52.3,86
CYNOMA,48.9,85.6
SANDKO,50.2,84.2
EUGEDU,50.7,82.9
PORTAN,52.2,81.2
KNEMSC,55.1,82.7
PAYELU,54.2,84.1
PORTAN,55.6,82.8
NEOSKI,59.3,82.7
PTERCO,59.3,83.8
PAYELU,55.6,86.2
KNEMSC,48.4,88
XANTRU,47.3,99.9
HOPEME,79.7,85
BARRPE,79.7,85.6
SHORM2,60.5,89
EUGEC1,63.5,87.9
EUGEGR,68.2,89.1
MONOMA,67,90
DACRR1,65.7,91.4
SHOROV,63.5,92
DACRR1,64.4,93.4
MESURA,64.1,94
HOPEME,66.7,95.7
EUGEC4,66.5,96.1
MADHL1,64.1,98.7
XANTEU,64.4,99.5
CROTLA,61.8,98
XYLOM1,70.2,87.2
SHORM1,70.5,89
DRYPLO,70.8,95.7
DIPTC1,78.5,97.5
KNEMMA,78.7,98.2
SHORM1,75.9,83.2
LITSFI,78.3,83
NAUCOF,73.8,81
SHORL2,69.6,83.1
TIMOWA,67.6,81.4
DIOSSI,72.4,99.6
CARABR,81.6,80.2
APORBR,82,81.6
CASTME,86.4,82.6
MEMEAM,85.2,83
APORAU,87.4,84
ALANRI,90.8,80.7
DACRR1,89.8,81.6
STERPA,91.6,84.9
EUGEC1,94.1,86.2
ELAEP3,93.5,85
ARTOKE,94,83.2
APORBR,96,83.5
DIPLMA,94.3,86.8
APORPR,92.1,89.2
CALOTE,88.4,90.3
CANTDI,84.2,89.8
POL1RU,82.6,89.8
